Position,Flop,Board Texture,Your Hand Type,Recommended Action
BTN,Q♠ 7♦ 2♣,Dry,Overpair,"Bet, check back some turns"
BB,A♠ K♦ 7♣,Wet,Two pair,"Bet for value, consider raising vs bet"
CO,3♣ 3♠ 3♦,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,A♠ K♦ 7♣,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,A♠ K♦ 7♣,Paired,Air,"Check-fold, maybe bluff on scare card"
BTN,J♠ T♠ 2♦,Dry,Top pair,"Bet for value, fold to big raise on wet board"
BTN,A♠ K♦ 7♣,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,K♣ Q♦ T♠,Dry,Overpair,"Bet, check back some turns"
MP,K♣ Q♦ T♠,Connected,Set,"Bet for value, consider raising vs bet"
SB,Q♠ 7♦ 2♣,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,A♠ K♦ 7♣,Paired,Bottom pair,"Check, rarely call a small bet"
MP,5♦ 5♣ K♥,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,9♣ 8♣ 7♣,Dry,Overpair,"Bet, check back some turns"
BTN,2♠ 6♦ 9♣,Connected,Set,"Bet for value, consider raising vs bet"
MP,A♠ K♦ 7♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,J♦ 9♦ 4♦,Paired,Top pair,"Bet for value, fold to big raise on wet board"
BB,A♦ A♣ K♣,Ace-high,Overpair,"Bet, check back some turns"
BTN,K♣ Q♦ T♠,Connected,Set,"Bet for value, consider raising vs bet"
CO,A♠ K♦ 7♣,Wet,Overpair,"Bet, check back some turns"
BTN,3♣ 3♠ 3♦,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,A♦ A♣ K♣,Monotone,Two pair,"Bet for value, consider raising vs bet"
BB,3♣ 3♠ 3♦,Monotone,Two pair,"Bet for value, consider raising vs bet"
SB,K♣ Q♦ T♠,Monotone,Two pair,"Bet for value, consider raising vs bet"
BB,Q♠ 7♦ 2♣,Dry,Two pair,"Bet for value, consider raising vs bet"
CO,J♦ 9♦ 4♦,Ace-high,Overpair,"Bet, check back some turns"
SB,J♦ 9♦ 4♦,Connected,Air,"Check-fold, maybe bluff on scare card"
BB,A♠ K♦ 7♣,Connected,Bottom pair,"Check, rarely call a small bet"
BB,5♦ 5♣ K♥,Monotone,Air,"Check-fold, maybe bluff on scare card"
CO,Q♠ 7♦ 2♣,Paired,Overpair,"Bet, check back some turns"
BTN,K♣ Q♦ T♠,Wet,Overpair,"Bet, check back some turns"
BTN,A♦ A♣ K♣,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,Q♠ 7♦ 2♣,Paired,Overpair,"Bet, check back some turns"
SB,A♠ K♦ 7♣,Monotone,Bottom pair,"Check, rarely call a small bet"
BB,2♠ 6♦ 9♣,Wet,Overpair,"Bet, check back some turns"
SB,A♦ A♣ K♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
SB,9♣ 8♣ 7♣,Paired,Bottom pair,"Check, rarely call a small bet"
CO,J♠ T♠ 2♦,Dry,Air,"Check-fold, maybe bluff on scare card"
SB,K♣ Q♦ T♠,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,5♦ 5♣ K♥,Connected,Overpair,"Bet, check back some turns"
CO,Q♠ 7♦ 2♣,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,K♣ Q♦ T♠,Connected,Air,"Check-fold, maybe bluff on scare card"
